PFAM_NAME	PFAM_ACC	PFAM_DESC	IS_DUF
AAA_lid_10	PF17872	AAA lid domain	0
AAA_lid_11	PF18198	Dynein heavy chain AAA lid domain	0
AAA_lid_12	PF21396	AAA+ ATPase lid domain	0
AAA_lid_13	PF23232	Fungal AAA+ ATPase lid domain	0
AAA_lid_14	PF25601	AAA+ ATPase lid domain	0
AAA_lid_2	PF17863	AAA lid domain	0
AAA_lid_3	PF17862	AAA+ lid domain	0
AAA_lid_4	PF17864	RuvB AAA lid domain	0
AAA_lid_5	PF17865	Midasin AAA lid domain	0
AAA_lid_6	PF17866	AAA lid domain	0
AAA_lid_7	PF17867	Midasin AAA lid domain	0
AAA_lid_8	PF17868	AAA lid domain	0
AAA_lid_9	PF17871	AAA lid domain	0
AAA_lid_At3g28540	PF25568	At3g28540-like, AAA+ ATPase lid domain	0
AAA_lid_BCS1	PF25426	Mitochondrial chaperone BCS1-like, ATPase lid domain	0
AAA_lid_NAV1	PF25408	NAV1-like, AAA+ ATPase lid domain	0
AAA_lid_PRS2_C	PF23902	PRS2 AAA+ lid C-terminal domain	0
AAA_lid_RFC1	PF25361	RFC1-like, AAA+ ATPase lid domain	0
AAA_lid_SMAX1	PF26587	SMAX1-like, AAA+ ATPase lid domain	0
AAA_lid_TANC1	PF25520	TANC1-like, AAA+ ATPase lid domain	0
AAA_lid_TRIP13_C	PF23242	TRIP13-like, AAA+ ATPase lid C-terminal domain	0
AAA_PrkA	PF08298	PrkA AAA domain	0
AAA_SelU	PF26341	tRNA 2-selenouridine synthase AAA domain	0
AadA_C	PF13427	Aminoglycoside adenylyltransferase, C-terminal domain	0
AalphaY_MDB	PF04611	Mating type protein A alpha Y mating type dependent binding region	0
AAL_decarboxy	PF03306	Alpha-acetolactate decarboxylase	0
AAPxQ	PF26791	AAPxQ domain	0
AAR2	PF05282	AAR2 C-terminal repeat region	0
AAR2_1st	PF20981	AAR2 N-terminal domain	0
AARP2CN	PF08142	AARP2CN (NUC121) domain	0
AASDHPPT_N	PF22624	4'-phosphopantetheinyl transferase, N-terminal	0
AAT	PF03417	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	0
AATase	PF07247	Alcohol acetyltransferase	0
AATF-Che1	PF13339	Apoptosis antagonizing transcription factor	0
AA_kinase	PF00696	Amino acid kinase family	0
AA_permease	PF00324	Amino acid permease	0
AA_permease_2	PF13520	Amino acid permease	0
AA_permease_C	PF13906	C-terminus of AA_permease	0
AA_permease_N	PF08403	Amino acid permease N-terminal	0
AA_synth	PF06684	Amino acid synthesis	0
Aa_trans	PF01490	Transmembrane amino acid transporter protein	0
ABA4-like	PF14108	ABA DEFICIENT 4-like	0
ABATE	PF07336	Putative stress-induced transcription regulator	0
ABA_GPCR	PF12430	Abscisic acid G-protein coupled receptor	0
ABA_WDS	PF02496	ABA/WDS induced protein	0
AbbA_antirepres	PF14156	Antirepressor AbbA	0
ABC-2_memb_rel	PF26999	ABC-2 membrane transporter related	0
ABC-3	PF00950	ABC 3 transport family	0
ABC-like_C	PF26919	ABC transporter domain-containing protein-like, C-terminal domain	0
ABC1	PF03109	ABC1 atypical kinase-like domain	0
ABC2_membrane	PF01061	ABC-2 type transporter	0
ABC2_membrane_2	PF12679	ABC-2 family transporter protein	0
ABC2_membrane_3	PF12698	ABC-2 family transporter protein	0
ABC2_membrane_4	PF12730	ABC-2 family transporter protein	0
ABC2_membrane_5	PF13346	ABC-2 family transporter protein	0
ABC2_membrane_6	PF06182	ABC-2 family transporter protein	0
ABC2_membrane_7	PF19055	ABC-2 type transporter	0
ABCA11_C	PF25158	ABC transporter A family member 11-like, C-terminal domain	0
ABCA12_C	PF24526	ABCA12-like, C-terminal domain	0
ABCC10_N	PF24358	ABCC10 N-terminal domain	0
ABC_AB	PF21707	Emaravirus ABC_AB protein	0
ABC_ATPase	PF09818	P-loop domain	0
ABC_C	PF21709	Emaravirus ABC_C protein	0
ABC_cobalt	PF09819	ABC-type cobalt transport system, permease component	0
ABC_export	PF16962	Putative ABC exporter	0
ABC_membrane	PF00664	ABC transporter transmembrane region	0
ABC_membrane_2	PF06472	ABC transporter transmembrane region 2	0
ABC_membrane_3	PF13748	ABC transporter transmembrane region	0
ABC_N	PF20446	ATPase of the ABC class N-terminal	0
ABC_sub_bind	PF04392	ABC transporter substrate binding protein	0
ABC_toxin_N	PF20220	ABC toxin N-terminal region	0
ABC_tran	PF00005	ABC transporter	0
ABC_transp_aux	PF09822	ABC-type uncharacterized transport system	0
ABC_trans_aux	PF03886	ABC-type transport auxiliary lipoprotein component	0
ABC_trans_CmpB	PF06541	Putative ABC-transporter type IV	0
ABC_trans_N	PF14510	ABC-transporter N-terminal	0
ABC_tran_2	PF16949	Putative ATP-binding cassette	0
ABC_tran_CTD	PF16326	ABC transporter C-terminal domain	0
ABC_tran_Xtn	PF12848	ABC transporter	0
Abdominal-A	PF12407	Homeobox protein	0
AbfB	PF05270	Alpha-L-arabinofuranosidase B (ABFB) domain	0
AbfS_sensor	PF18225	Sensor histidine kinase (AbfS) sensor domain	0
ABG_transport	PF03806	AbgT putative transporter family	0
ABHD16_N	PF22990	Phosphatidylserine Lipase ABHD16 N-terminal domain	0
ABHD18	PF09752	Alpha/beta hydrolase domain containing 18	0
ABhydrolase-like_N	PF22316	A/B hydrolase-like, N-terminal domain	0
Abhydrolase_1	PF00561	alpha/beta hydrolase fold	0
Abhydrolase_10	PF20091	Alpha/beta hydrolase domain	0
Abhydrolase_11	PF20408	Alpha/beta hydrolase domain	0
Abhydrolase_2	PF02230	Phospholipase/Carboxylesterase	0
Abhydrolase_3	PF07859	alpha/beta hydrolase fold	0
Abhydrolase_4	PF08386	TAP-like protein	0
Abhydrolase_5	PF12695	Alpha/beta hydrolase family	0
Abhydrolase_6	PF12697	Alpha/beta hydrolase family	0
Abhydrolase_7	PF12715	Abhydrolase family	0
Abhydrolase_8	PF06259	Alpha/beta hydrolase	0
Abhydrolase_9	PF10081	Alpha/beta-hydrolase family	0
Abhydrolase_9_N	PF15420	Alpha/beta-hydrolase family N-terminus	0
Abhydro_lipase	PF04083	Partial alpha/beta-hydrolase lipase region	0
ABI	PF27594	Abl interactor protein	0
AbiEii	PF08843	Nucleotidyl transferase AbiEii toxin, Type IV TA system	0
AbiEi_1	PF09407	AbiEi antitoxin C-terminal domain	0
AbiEi_2	PF09952	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	0
AbiEi_3	PF11459	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	0
AbiEi_3_N	PF17194	Transcriptional regulator, AbiEi antitoxin N-terminal domain	0
AbiEi_4	PF13338	Transcriptional regulator, AbiEi antitoxin	0
AbiGi	PF10899	Putative abortive phage resistance protein AbiGi, antitoxin	0
AbiGii_2	PF16873	Putative abortive phage resistance protein AbiGii toxin	0
aBig_2	PF20578	Atrophied bacterial Ig domain	0
AbiH	PF14253	Bacteriophage abortive infection AbiH	0
AbiJ_NTD3	PF18860	AbiJ N-terminal domain 3	0
AbiJ_NTD4	PF18863	AbiJ N-terminal domain 4	0
AbiJ_NTD5	PF18865	AbiJ N-terminal domain 5	0
AbiTii	PF18864	AbiTii	0
Abi_2	PF07751	Abi-like protein	0
Abi_alpha	PF14337	Abortive infection alpha	0
Abi_C	PF14355	HEPN-like domain	0
Abi_HHR	PF07815	Abl-interactor HHR	0
AbLIM_anchor	PF16182	Putative adherens-junction anchoring region of AbLIM	0
ABM	PF03992	Antibiotic biosynthesis monooxygenase	0
ABM-like	PF21931	ABM-like domain	0
Abp2	PF09441	ARS binding protein 2	0
AbpA-like	PF22224	Amylase-binding protein AbpA	0
AbpE_bact	PF27030	AbpE bacteria	0
AbrB	PF05145	Transition state regulatory protein AbrB	0
AbrB-like	PF14250	AbrB-like transcriptional regulator	0
AbrB_C	PF18277	AbrB C-terminal domain	0
ABT1_C	PF27760	ABT1 C-terminal domain	0
AB_HYDROLASE_YMC0-YMC35	PF26147	YMC0/YMC35 alpha/beta hydrolase domain	0
Ac110_PIF	PF07280	Per os infectivity factor AC110	0
Ac45-VOA1_TM	PF20520	V0 complex accessory subunit Ac45/VOA1 transmembrane domain	0
Ac76	PF05814	Orf76 (Ac76)	0
Ac81	PF05820	Baculoviridae AC81	0
Aca2_YdiL	PF08965	Aca2/YdiL-like	0
AcaB	PF08900	Transcriptional regulator AcaB	0
ACAD9-ACADV_C	PF21343	ACAD9/ACADV, C-terminal domain	0
Acanthaporin	PF20963	Acanthaporin	0
ACAS_N	PF16177	Acetyl-coenzyme A synthetase N-terminus	0
Acatn	PF13000	Acetyl-coenzyme A transporter 1	0
Acb1	PF23474	Anti-CBASS protein Acb1	0
Acb2_Tad1_hairpin	PF24729	Acb2/Tad1, hairpin domain	0
Acb3	PF25187	CBASS inhibitor Acb3	0
Acb5	PF26761	Acb5 phage protein	0
ACBP	PF00887	Acyl CoA binding protein	0
ACBP4_C	PF24922	Acyl-CoA-binding domain-containing protein 4-6, C-terminal	0
Acc5b_avian_CoV	PF05528	Accessory protein 5b, avian coronavirus	0
